title,author,year,type,volume,issue,pages,venue,venueShort,publisher,doi,url,abstract,keywords,citedBy,citedByPerYear,quality,objective,technology,data,participants,maturity,device
Usability and Accessibility Assessment of Saudi Arabia Mobile E-Government Websites,"Al-Sakran, Hasan O.; Alsudairi, Mohammed A.",2021,journalArticle,9,,48254 – 48275,IEEE Access,,IEEE,10.1109/ACCESS.2021.3068917,https://doi.org/10.1109/ACCESS.2021.3068917,"The rapid spread of smart mobile technology is transforming the way how governments provide information and services to their citizens. We all are rely more on our devices, namely smartphones, laptops, or desktop to get information and a wide range of services from government websites. Such heavy usage of government websites results in an increased need for efficient and effective delivery of government services. Therefore, mobile government websites' usability and accessibility are essential dimensions that determine the quality and accessibility of mobile e-government. The main objective of this research is to analyze the accessibility and usability aspects of selected public sector websites in Saudi Arabia. This study investigates how well the Saudi mobile e-government websites comply with usability standards and accessibility guidelines recommended in the Web Content Accessibility Guidelines (WCAG). Websites assessments were conducted using manual evaluation and complemented by different automated analysis tools. This study applies a number of evaluation techniques to assess Saudi government websites accessed from desktop or mobile devices, such as an automated website testing technique, mobile-friendliness testing, and content observation technique. Various tools have been used for site evaluation, such as GTmetrix (PageSpeed Score, YSlow Score), WAVE, Google mobile-friendly test, and Dareboost for mobile websites. The study uncovers shortcomings regarding non-compliance to international web standards recommendations. The findings revealed usability and accessibility problems that affect the performance of government websites. In order to improve these websites within these aspects, several recommendations were suggested for improving the usability and accessibility of websites in Saudi Arabia that will make sure different groups of citizens are satisfied with the website features and services provided by them. © 2013 IEEE.",Accessibility guidelines; Accessibility problems; Automated analysis; e-government; Government services; Government websites; Mobile e governments; Observation techniques; Regulatory compliance; Testing; Usability engineering; Web content accessibility guidelines; Web Design; Websites,51,14.57,Q2,Usability attribute evaluation,Descriptive metrics,Source code,no,existing tools usage,mobile
Method for semi-automated evaluation of user experience using brain activity,"Aleksander, B.A.I.; Fuglerud, Kristin S.",2018,journalArticle,256,,811 – 820,Studies in Health Technology and Informatics,,IOS Press,10.3233/978-1-61499-923-2-811,https://doi.org/10.3233/978-1-61499-923-2-811,"There is a large interest in user experience today, both from a usability and accessibility point of view. However, in order to verify what the users actually like and don't like, user testing must be conducted. Traditionally, user experience is measured retrospective with surveys and interviews, but this is not the most optimal approach since it does not measure user experience in the moment and it is prone for human error because of our inaccurate memory recollection. Here we propose a method that does semi-automated evaluation of user experience by utilizing electrophysiological equipment that monitors electrical activity of the brain. We describe an approach that together with brain activity monitoring will collect and quantify user experience in a non-intrusive manner. We demonstrate the method by showing how a low cost device can record brain activity during a user test, and auto-detect where the user has difficulties understand or navigating a solution. All this is done in an unsupervised manner, but an observer must still verify the feedback with the actual user to remove false positives. Our method is not limited to digital solutions and can also be used for evaluating user experience of physical installations. © 2018 The authors and IOS Press.",Usability; User experience; automation; Automation; Surveys; Brain; Electroencephalography; Design; human; Humans; User-Computer Interface; human experiment; quantitative analysis; questionnaire; computer interface; Surveys and Questionnaires; Universal Design; Retrospective Studies; retrospective study; brain function; false positive result; conference paper; monitoring; Neurophysiology; Electrophysiology; brain; EEG; Digital solutions; Electrical activities; electroencephalogram; Low-cost devices; Optimal approaches; Semi-automated; Universal design,6,0.92,Q3,Usability attribute evaluation,Descriptive metrics,Physiological signals,yes,prototype,desktop
Towards a catalog of usability smells,"Almeida, Diogo; Campos, José Creissac; Saraiva, João; Silva, João Carlos",2015,conferencePaper,,,175–181,Proceedings of the 30th Annual ACM Symposium on Applied Computing,SAC,ACM,10.1145/2695664.2695670,https://doi.org/10.1145/2695664.2695670,"This paper presents a catalog of smells in the context of interactive applications. These so-called usability smells are indicators of poor design on an application's user interface, with the potential to hinder not only its usability but also its maintenance and evolution. To eliminate such usability smells we discuss a set of program/usability refactorings. In order to validate the presented usability smells catalog, and the associated refactorings, we present a preliminary empirical study with software developers in the context of a real open source hospital management application. Moreover, a tool that computes graphical user interface behavior models, giving the applications' source code, is used to automatically detect usability smells at the model level.",graphical user interfaces; empirical studies; code smells,29,3.05,B,Automatic guideline evaluation,Rule-based systems,Source code,no,prototype,desktop
A semi-automated usability evaluation framework for interactive image segmentation systems,"Amrehn, Mario; Steidl, Stefan; Kortekaas, Reinier; Strumia, Maddalena; Weingarten, Markus; Kowarschik, Markus; Maier, Andreas",2019,journalArticle,2019,,,International Journal of Biomedical Imaging,,Wiley,10.1155/2019/1464592,https://doi.org/10.1155/2019/1464592,"For complex segmentation tasks, the achievable accuracy of fully automated systems is inherently limited. Specifically, when a precise segmentation result is desired for a small amount of given data sets, semi-automatic methods exhibit a clear benefit for the user. The optimization of human computer interaction (HCI) is an essential part of interactive image segmentation. Nevertheless, publications introducing novel interactive segmentation systems (ISS) often lack an objective comparison of HCI aspects. It is demonstrated that even when the underlying segmentation algorithm is the same throughout interactive prototypes, their user experience may vary substantially. As a result, users prefer simple interfaces as well as a considerable degree of freedom to control each iterative step of the segmentation. In this article, an objective method for the comparison of ISS is proposed, based on extensive user studies. A summative qualitative content analysis is conducted via abstraction of visual and verbal feedback given by the participants. A direct assessment of the segmentation system is executed by the users via the system usability scale (SUS) and AttrakDiff-2 questionnaires. Furthermore, an approximation of the findings regarding usability aspects in those studies is introduced, conducted solely from the system-measurable user actions during their usage of interactive segmentation prototypes. The prediction of all questionnaire results has an average relative error of 8.9%, which is close to the expected precision of the questionnaire results themselves. This automated evaluation scheme may significantly reduce the resources necessary to investigate each variation of a prototype's user interface (UI) features and segmentation methodologies. © 2019 Mario Amrehn et al.",Article; Automated usability evaluation; automation; Automation; Average relative error; cognitive model; content analysis; Degrees of freedom (mechanics); human; Human computer interaction; Human computer interaction (HCI); image segmentation; Image segmentation; Interactive image segmentation; Interactive segmentation; Iterative methods; prediction; qualitative analysis; questionnaire; Segmentation algorithms; Semiautomatic methods; Surveys; System Usability Scale (SUS); User interfaces,11,2,Q3,Usability attribute evaluation,Machine learning,User interactions,yes,prototype,desktop
Predicting User Engagement with Direct Displays Using Mouse Cursor Information,"Arapakis, Ioannis; Leiva, Luis A.",2016,conferencePaper,,,,Proceedings of the 39th International ACM SIGIR conference on Research and Development in Information Retrieval,SIGIR,ACM,10.1145/2911451.2911505,https://doi.org/10.1145/2911451.2911505,"Predicting user engagement with direct displays (DD) is of paramount importance to commercial search engines, as well as to search performance evaluation. However, understanding within-content engagement on a web page is not a trivial task mainly because of two reasons: (1) engagement is subjective and different users may exhibit different behavioural patterns; (2) existing proxies of user engagement (e.g., clicks, dwell time) suffer from certain caveats, such as the well-known position bias, and are not as effective in discriminating between useful and non-useful components. In this paper, we conduct a crowdsourcing study and examine how users engage with a prominent web search engine component such as the knowledge module (KM) display. To this end, we collect and analyse more than 115k mouse cursor positions from 300 users, who perform a series of search tasks. Furthermore, we engineer a large number of meta-features which we use to predict different proxies of user engagement, including attention and usefulness. In our experiments, we demonstrate that our approach is able to predict more accurately different levels of user engagement and outperform existing baselines.",web search; knowledge module; direct displays; mouse cursor tracking; user engagement,53,6.24,A*,Usability attribute evaluation,Machine learning,User interactions,yes,prototype,desktop
A judgment-based model for usability evaluating of interactive systems using fuzzy Multi Factors Evaluation (MFE),"Asemi, Adeleh; Asemi, Asefeh",2022,journalArticle,117,,108411,Applied Soft Computing,,Elsevier,10.1016/j.asoc.2022.108411,https://doi.org/10.1016/j.asoc.2022.108411,"The study aimed to propose a judgment-based evaluation model for usability evaluating of interactive systems. Human judgment is associated with uncertainty and gray information. We used the fuzzy technique for integration, summarization, and distance calculation of quality value judgment. The proposed model is an integrated fuzzy Multi Factors Evaluation (MFE) model based on experts’ judgments in HCI, ISPD, and AMLMs. We provided a Fuzzy Inference System (FIS) for scoring usability evaluation metrics in different interactive systems. A multi-model interactive system is implemented for experimental testing of the model. The achieved results from the proposed model and experimental tests are compared using statistical correlation tests. The results show the ability of the proposed model for usability evaluation of interactive systems without the need for conducting empirical tests. It is concluded that applying a dataset in a neuro-FIS and training system cause to produce more than a hundred effective rules. The findings indicate that the proposed model can be applied for interactive system evaluation, informative evaluation, and complex empirical tests. Future studies may improve the FIS with the integration of artificial neural networks.",Experts’ judgment; Fuzzy Inference System (FIS); Interactive systems; Multiple Factors Evaluation (MFE); Usability evaluation; Usability testing,8,3.2,Q1,Usability attribute evaluation,Rule-based systems,Audio,yes,prototype,desktop
The Combination of Contextualized Topic Model and MPNet for User Feedback Topic Modeling,"Asnawi, Mohammad Hamid; Pravitasari, Anindya Apriliyanti; Herawan, Tutut; Hendrawati, Triyani",2023,journalArticle,11,,130272-130286,IEEE Access,,IEEE,10.1109/ACCESS.2023.3332644,https://doi.org/10.1109/ACCESS.2023.3332644,"In the era of big data and ubiquitous internet connectivity, user feedback data plays a crucial role in product development and improvement. However, extracting valuable insights from the vast pool of unstructured text data found in user feedback presents significant challenges. In this paper, we propose an innovative approach to tackle this challenge by combining the Contextualized Topic Model (CTM) and the Masked and Permuted Pre-training for Language Understanding (MPNet) model. Our approach aims to create a more accurate and context-aware topic model that enhances the understanding of user experiences and opinions. To achieve this, we first search for the optimal number of topics, focusing on generating distinguishable, general, and unique topics. Next, we perform hyperparameter optimization to fine-tune the model and maximize coherence metrics. The result is an exceptionally effective model that outperforms established topic modeling methods, including LSI, NMF, LDA, HDP, NeuralLDA, ProdLDA, ETM, and the default CTM, achieving the highest coherence CV score of 0.7091. In this study, the combination of CTM and MPNet has proven highly effective in the context of user feedback topic modeling. This model excels in generating coherent, distinguishable, and highly relevant user feedback topics, capturing the nuanced nature of user feedback data. The topics generated from this model include ‘Music and Audio Streaming,’ ’Application Performance,’ ‘Banking, Financial Services, and Customer Support,’ ’User Experience,’ ‘Other Topics,’ ’Application Content,’ and ‘Application Features.’ Our contributions include a powerful tool for developers to gain deeper insights, prioritize actions, and enhance user satisfaction by incorporating feedback into future product iterations. Furthermore, we introduce a new dataset as an open-source resource for further exploration and validation of user feedback analysis techniques and general natural language processing applications. With our proposed approach, we strive to drive business success, improve user experiences, and inform data-driven decision-making processes, ultimately benefiting both developers and users alike.",Analytical models; Coherence; Context modeling; Contextualized topic model; Data mining; Data models; Feedback; Measurement; MPNet; natural language processing; Natural language processing; Predictive models; topic model; user feedback,3,2,Q2,Feedback evaluation,"NLP, LLM",Text,yes,prototype,device independent
Domain Usability Evaluation,"Bacikova, Michaela; Poruban, Jaroslav; Sulir, Matus; Chodarev, Sergej; Steingartner, William; Madeja, Matej",2021,journalArticle,10,16,,Electronics,,MDPI,10.3390/electronics10161963,https://doi.org/10.3390/electronics10161963,"Contemporary software systems focus on usability and accessibility from the point of view of effectiveness and ergonomics. However, the correct usage of the domain dictionary and the description of domain relations and properties via their user interfaces are often neglected. We use the term domain usability (DU) to describe the aspects of the user interface related to the terminology and domain. Our experience showed that poor domain usability reduces the memorability and effectiveness of user interfaces. To address this problem, we describe a method called ADUE (Automatic Domain Usability Evaluation) for the automated evaluation of selected DU properties on existing user interfaces. As a prerequisite to the method, metrics for formal evaluation of domain usability, a form stereotype recognition algorithm, and general application terms filtering algorithm have been proposed. We executed ADUE on several real-world Java applications and report our findings. We also provide proposals to modify existing manual usability evaluation techniques for the purpose of domain usability evaluation.",User experience; Graphical user interfaces; user experience; human-computer interaction; graphical user interfaces; Usability evaluation methods; domain usability; domain-specific languages; usability evaluation methods; Domain usability; Domain-specific languages; Human–computer interaction,5,1.43,Q3,Automatic guideline evaluation,Rule-based systems,Source code,no,prototype,desktop
Automated model-based android GUI testing using multi-level GUI comparison criteria,"Baek, Young-Min; Bae, Doo-Hwan",2016,conferencePaper,,,238 – 249,Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering,ASE,ACM,10.1145/2970276.2970313,https://doi.org/10.1145/2970276.2970313,"Automated Graphical User Interface (GUI) testing is one of the most widely used techniques to detect faults in mobile applications (apps) and to test functionality and usability. GUI testing exercises behaviors of an application under test (AUT) by executing events on GUIs and checking whether the app behaves correctly. In particular, because Android leads in market share of mobile OS platforms, a lot of research on automated Android GUI testing techniques has been performed. Among various techniques, we focus on model-based Android GUI testing that utilizes a GUI model for systematic test generation and effective debugging support. Since test inputs are generated based on the underlying model, accurate GUI modeling of an AUT is the most crucial factor in order to generate effective test inputs. However, most modern Android apps contain a number of dynamically constructed GUIs that make accurate behavior modeling more challenging. To address this problem, we propose a set of multi-level GUI Comparison Criteria (GUICC) that provides the selection of multiple abstraction levels for GUI model generation. By using multilevel GUICC, we conducted empirical experiments to identify the inuence of GUICC on testing effectiveness. Results show that our approach, which performs model-based testing with multi-level GUICC, achieved higher effectiveness than activity-based GUI model generation. We also found that multi-level GUICC can alleviate the inherent state explosion problems of existing a single-level GUICC for behavior modeling of real-world Android apps by exibly manipulating GUICC. © 2016 ACM.",Graphical user interfaces; GUI testing; Testing; User interfaces; Software engineering; Automation; Embedded systems; Android (operating system); Model checking; Competition; Model-based test; Graphical user interfaces (GUI); Testing effectiveness; Android applications; Application under tests; Comparison criterion; State explosion problems; Android application testing; GUI comparison criteria; GUI model generation; Model-based test input generation,205,24.12,A,Automatic guideline evaluation,Rule-based systems,Source code,no,prototype,mobile
Auto-Extraction and Integration of Metrics for Web User Interfaces,"Bakaev, Maxim; Heil, Sebastian; Khvorostov, Vladimir; Gaedke, Martin",2018,journalArticle,17,6–7,561-590,Journal of Web Engineering,,River Publishers,10.13052/jwe1540-9589.17676,https://doi.org/10.13052/jwe1540-9589.17676,"Metric-based assessment of web user interface (WUI) quality attributes is shifting from code (HTML/CSS) analysis to mining webpages' visual representations based on image recognition techniques. In our paper, we describe a visual analysis tool which takes a WUI screenshot and produces structured and machine-readable representation (JSON) of the interface elements' spatial allocation. The implementation is based on OpenCV (image recognition functions), dlib (trained detector for the elements' classification), and Tesseract (label and content text recognition). The JSON representation is used to automatically calculate several metrics related to visual complexity, which is known to have major effect on user experience with UIs. We further describe a WUI measurement platform that allows integration of the currently dispersed sets of metrics from different providers and demonstrate the platform's use with several remote services. We perform statistical analysis of the collected metrics in relation to complexity-related subjective evaluations obtained from 63 human subjects of various nationalities. Finally, we build predictive models for visual complexity and show that their accuracy can be improved by integrating the metrics from different sets. Regressions with the single index of visual complexity metric that we proposed had R2=0.460, while the best joint model with 4 metrics had R2=0.647.",Automated metrics; HCI Vision; web design mining; visual complexity,39,6,Q4,Visual complexity evaluation,"Deep learning, Computer vision",Images,no,tool,desktop
